商品标题,价格,商品页面URL,好评率,大家印象,评价数量,会员名称,评价标签,评价内容,购买产品,卖家,评价星级,评价图片URL,追评内容,追评图片URL,追评时间,评价设备系统,采集时间
 自营 超级新品 格力（GREE）1.5匹 变频 KFR-35GW/(35583)FNCb-A2 冷静享 2级能效 冷暖 挂机空调,¥2899.00,https://product.suning.com/0000000000/164548703.html?safp=d488778a.13701.productWrap.107&safc=prd.0.0&safpn=10007,99%,"
 
 服务很好(309)
 
 安装及时(307)
 
 包装完好(306)
 
 送货快(306)
 
 大品牌可靠(304)
 
 外观好看(260)
 
 质量很好(253)
 
 安装收费合理(248)
 
 性价比高 (243)
 
 ",,1***9,,"
 货已收到，送货师傅服务很好，包装完好，没有损伤，暂时还没安装，等安装完再来补充
 ",,,5星,"//image.suning.cn/uimg/ZR/share_order/159763384803622280_100x100.jpg
//image.suning.cn/uimg/ZR/share_order/159763384539916824_100x100.jpg
//image.suning.cn/uimg/ZR/share_order/159763385011224453_100x100.jpg",,,,,2021/02/21 18:41:34
 自营 超级新品 格力（GREE）1.5匹 变频 KFR-35GW/(35583)FNCb-A2 冷静享 2级能效 冷暖 挂机空调,¥2899.00,https://product.suning.com/0000000000/164548703.html?safp=d488778a.13701.productWrap.107&safc=prd.0.0&safpn=10007,99%,"
 
 服务很好(309)
 
 安装及时(307)
 
 包装完好(306)
 
 送货快(306)
 
 大品牌可靠(304)
 
 外观好看(260)
 
 质量很好(253)
 
 安装收费合理(248)
 
 性价比高 (243)
 
 ",,1***1,,"
 挺好的不错，物流快，安装快。
 ",,,5星,"//image.suning.cn/uimg/ZR/share_order/160534145415841158_100x100.jpg
//image.suning.cn/uimg/ZR/share_order/160534145418456211_100x100.jpg",,,,,2021/02/21 18:41:34
 自营 超级新品 格力（GREE）1.5匹 变频 KFR-35GW/(35583)FNCb-A2 冷静享 2级能效 冷暖 挂机空调,¥2899.00,https://product.suning.com/0000000000/164548703.html?safp=d488778a.13701.productWrap.107&safc=prd.0.0&safpn=10007,99%,"
 
 服务很好(309)
 
 安装及时(307)
 
 包装完好(306)
 
 送货快(306)
 
 大品牌可靠(304)
 
 外观好看(260)
 
 质量很好(253)
 
 安装收费合理(248)
 
 性价比高 (243)
 
 ",,1***m,,"
 风力大小:大噪音大小:小节能效果:还不知道非常满意
 ",,,5星,,,,,,2021/02/21 18:41:34
 自营 超级新品 格力（GREE）1.5匹 变频 KFR-35GW/(35583)FNCb-A2 冷静享 2级能效 冷暖 挂机空调,¥2899.00,https://product.suning.com/0000000000/164548703.html?safp=d488778a.13701.productWrap.107&safc=prd.0.0&safpn=10007,99%,"
 
 服务很好(309)
 
 安装及时(307)
 
 包装完好(306)
 
 送货快(306)
 
 大品牌可靠(304)
 
 外观好看(260)
 
 质量很好(253)
 
 安装收费合理(248)
 
 性价比高 (243)
 
 ",,吒***哥,,"
 下大雨，送货师傅还是按时送到了，感谢你们的服务，大品牌值得信赖！
 ",,,5星,"//image.suning.cn/uimg/ZR/share_order/159221189246811464_100x100.jpg
//image.suning.cn/uimg/ZR/share_order/159221189237162553_100x100.jpg
//image.suning.cn/uimg/ZR/share_order/159221189266904626_100x100.jpg",,,,,2021/02/21 18:41:34
 自营 超级新品 格力（GREE）1.5匹 变频 KFR-35GW/(35583)FNCb-A2 冷静享 2级能效 冷暖 挂机空调,¥2899.00,https://product.suning.com/0000000000/164548703.html?safp=d488778a.13701.productWrap.107&safc=prd.0.0&safpn=10007,99%,"
 
 服务很好(309)
 
 安装及时(307)
 
 包装完好(306)
 
 送货快(306)
 
 大品牌可靠(304)
 
 外观好看(260)
 
 质量很好(253)
 
 安装收费合理(248)
 
 性价比高 (243)
 
 ",,胖***智,,"
 送货很快，第1天买，第2天送，第3天装。不过买回来之后天气就变凉了，也没怎么用，等用过之后再回来追评。
 ",,,5星,"//image.suning.cn/uimg/ZR/share_order/158908810061416557_100x100.jpg
//image.suning.cn/uimg/ZR/share_order/158908801296936444_100x100.jpg
//image.suning.cn/uimg/ZR/share_order/158908810116918013_100x100.jpg",,,,,2021/02/21 18:41:34
 自营 超级新品 格力（GREE）1.5匹 变频 KFR-35GW/(35583)FNCb-A2 冷静享 2级能效 冷暖 挂机空调,¥2899.00,https://product.suning.com/0000000000/164548703.html?safp=d488778a.13701.productWrap.107&safc=prd.0.0&safpn=10007,99%,"
 
 服务很好(309)
 
 安装及时(307)
 
 包装完好(306)
 
 送货快(306)
 
 大品牌可靠(304)
 
 外观好看(260)
 
 质量很好(253)
 
 安装收费合理(248)
 
 性价比高 (243)
 
 ",,苏***7,,"
 经常在苏宁易购买东西，平台挺好，大公司，物流也挺给力，农村直接给到家，价格透明，售后没得说，一个预约，马上就到
 ",,,5星,"//image.suning.cn/uimg/ZR/share_order/158556529130844286_100x100.jpg
//image.suning.cn/uimg/ZR/share_order/158556529121954228_100x100.jpg
//image.suning.cn/uimg/ZR/share_order/158556529142847798_100x100.jpg",,,,,2021/02/21 18:41:34
 自营 超级新品 格力（GREE）1.5匹 变频 KFR-35GW/(35583)FNCb-A2 冷静享 2级能效 冷暖 挂机空调,¥2899.00,https://product.suning.com/0000000000/164548703.html?safp=d488778a.13701.productWrap.107&safc=prd.0.0&safpn=10007,99%,"
 
 服务很好(309)
 
 安装及时(307)
 
 包装完好(306)
 
 送货快(306)
 
 大品牌可靠(304)
 
 外观好看(260)
 
 质量很好(253)
 
 安装收费合理(248)
 
 性价比高 (243)
 
 ",,1***5,,"
 刚安好还没有用
 ",,,5星,,,,,,2021/02/21 18:41:34
 自营 超级新品 格力（GREE）1.5匹 变频 KFR-35GW/(35583)FNCb-A2 冷静享 2级能效 冷暖 挂机空调,¥2899.00,https://product.suning.com/0000000000/164548703.html?safp=d488778a.13701.productWrap.107&safc=prd.0.0&safpn=10007,99%,"
 
 服务很好(309)
 
 安装及时(307)
 
 包装完好(306)
 
 送货快(306)
 
 大品牌可靠(304)
 
 外观好看(260)
 
 质量很好(253)
 
 安装收费合理(248)
 
 性价比高 (243)
 
 ",,1***9,,"
 格力空调不用说，东西非常好
 ",,,5星,//image.suning.cn/uimg/ZR/share_order/158900422688053877_100x100.jpg,,,,,2021/02/21 18:41:35
 自营 超级新品 格力（GREE）1.5匹 变频 KFR-35GW/(35583)FNCb-A2 冷静享 2级能效 冷暖 挂机空调,¥2899.00,https://product.suning.com/0000000000/164548703.html?safp=d488778a.13701.productWrap.107&safc=prd.0.0&safpn=10007,99%,"
 
 服务很好(309)
 
 安装及时(307)
 
 包装完好(306)
 
 送货快(306)
 
 大品牌可靠(304)
 
 外观好看(260)
 
 质量很好(253)
 
 安装收费合理(248)
 
 性价比高 (243)
 
 ",,眼***1,,"
 此用户没有填写评价内容
 ",,,5星,"//image.suning.cn/uimg/ZR/share_order/158728671960372348_100x100.jpg
//image.suning.cn/uimg/ZR/share_order/158728671994834275_100x100.jpg
//image.suning.cn/uimg/ZR/share_order/158728671991535863_100x100.jpg
//image.suning.cn/uimg/ZR/share_order/158728671980335038_100x100.jpg",,,,,2021/02/21 18:41:35
 自营 超级新品 格力（GREE）1.5匹 变频 KFR-35GW/(35583)FNCb-A2 冷静享 2级能效 冷暖 挂机空调,¥2899.00,https://product.suning.com/0000000000/164548703.html?safp=d488778a.13701.productWrap.107&safc=prd.0.0&safpn=10007,99%,"
 
 服务很好(309)
 
 安装及时(307)
 
 包装完好(306)
 
 送货快(306)
 
 大品牌可靠(304)
 
 外观好看(260)
 
 质量很好(253)
 
 安装收费合理(248)
 
 性价比高 (243)
 
 ",,4***4,,"
 大品牌质量很好
 ",,,5星,"//image.suning.cn/uimg/ZR/share_order/157208724456739036_100x100.jpg
//image.suning.cn/uimg/ZR/share_order/157208724414591172_100x100.jpg
//image.suning.cn/uimg/ZR/share_order/157208724723499571_100x100.jpg",,,,,2021/02/21 18:41:40
